Start profiling...
STAGE:2023-03-21 23:08:33 15306:15306 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-21 23:08:37 15306:15306 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.026264
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.024805
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.042045
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.109110
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.048607
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.030964
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.086991
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.239200
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.042620
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.015417
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.114543
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.224542
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.140436
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.061527
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.066711
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.056618
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.079743
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.107802
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.043098
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.024857
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.040590
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.058555
Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.099447
Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.074004
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.061175
Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.054529
Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.110526
Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.047557
Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.055850
Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.100961
Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.082744
Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.169891
Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.029215
Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.043681
