Start profiling...
STAGE:2023-03-27 15:25:53 29481:29481 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-27 15:25:58 29481:29481 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.033340
Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.058075
Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.174119
Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.053628
Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.021730
Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.017677
Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.037365
Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.063298
Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.035090
Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.241175

Test set: Average loss: 0.0387, Accuracy: 9880/10000 (99%)

Train Epoch: 3 [0/60000 (0%)]	Loss: 0.018992
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.105557
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.038181
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.023855
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.018453
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.017465
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.062181
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.026077
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.168051
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.066828
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.018513
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.021622
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.208487
